// domain: security
// title: Application Security, Supply Chain, Cloud Security, IAM and AI Security
// format: owner/repo | tags | why it matters

center-for-threat-informed-defense/attack-flow | threat,modeling,attack | Model attack sequences
mitre/cti | threat,intel,attack | ATT&CK as structured data
mitre-attack/attack-navigator | threat,coverage,visualization | Map detection coverage
Neo23x0/sigma | detection,rules,siem | Vendor-neutral detection rules
SigmaHQ/sigma | detection,rules,corpus | The Sigma rule corpus
elastic/detection-rules | detection,siem,rules | Elastic's detection content
splunk/security_content | detection,splunk,rules | Splunk security content
redcanaryco/atomic-red-team | testing,detection,adversary | Test whether detections actually fire
mitre/caldera | adversary-emulation,automation | Automated adversary emulation
projectdiscovery/nuclei | scanning,templates,fast | Template-driven vulnerability scanning
projectdiscovery/nuclei-templates | scanning,templates,corpus | The template corpus
projectdiscovery/subfinder | recon,dns,discovery | Subdomain discovery
projectdiscovery/httpx | recon,http,probing | HTTP probing toolkit
OJ/gobuster | recon,bruteforce,discovery | Content and DNS discovery
danielmiessler/SecLists | wordlists,testing,corpus | The standard wordlist collection
swisskyrepo/PayloadsAllTheThings | payloads,testing,reference | Payload and bypass reference
rapid7/metasploit-framework | exploitation,framework,testing | The exploitation framework
sleuthkit/autopsy | forensics,investigation | Digital forensics platform
volatilityfoundation/volatility3 | forensics,memory,analysis | Memory forensics
google/tsunami-security-scanner | scanning,network,google | Google's network scanner
google/oss-fuzz | fuzzing,continuous,security | Continuous fuzzing for open source
google/security-research | research,advisories,poc | Published vulnerability research
cloudflare/quiche | tls,quic,rust | QUIC and HTTP/3 implementation
openssl/openssl | crypto,tls,library | The TLS library most estates depend on
jedisct1/libsodium | crypto,library,safe | Misuse-resistant cryptography
pyca/cryptography | crypto,python,library | The correct Python crypto library
RustCrypto/traits | crypto,rust,traits | Rust cryptography traits
protectai/modelscan | ai-security,models,scanning | Scan model files for unsafe payloads
protectai/llm-guard | ai-security,filtering,prompts | Input and output filtering for LLM apps
leondz/garak | ai-security,redteam,scanning | LLM vulnerability probes
Azure/PyRIT | ai-security,redteam,microsoft | Generative AI risk identification
NVIDIA/garak | ai-security,scanning,llm | LLM security probing (NVIDIA-maintained line)
mlcommons/croissant | ai,metadata,datasets | Dataset metadata for provenance
OWASP/www-project-top-10-for-large-language-model-applications | ai-security,owasp,risks | The LLM top ten
cncf/tag-security | security,cloud-native,guidance | Cloud-native security guidance
