// domain: ai-agents
// title: AI Agent Frameworks, Orchestration, MCP and Agent Memory
// format: owner/repo | tags | why it matters
// lines starting with // are comments; blank lines ignored

Azure/PyRIT | security,redteam,microsoft | Risk identification toolkit for generative AI
microsoft/promptbench | evals,robustness | Robustness evaluation for prompts
ScrapeGraphAI/Scrapegraph-ai | scraping,agents,graph | Graph-shaped LLM scraping pipelines
unclecode/crawl4ai | crawling,llm-ready | Crawler that emits LLM-ready markdown
mendableai/firecrawl | crawling,api,markdown | Site-to-markdown crawling service
assafelovic/gpt-researcher | research,agents,reports | Autonomous research agent with citation discipline
stanford-oval/storm | research,writing,outline | Outline-first long-form research writing
InternLM/lagent | agents,lightweight | Lightweight agent framework
modelscope/agentscope | agents,multi-agent,platform | Multi-agent platform with distributed execution
phidatahq/phidata | agents,memory,tools | Agents with memory, knowledge and tools (now Agno lineage)
superagent-ai/superagent | agents,platform,api | Agent API platform
langchain-ai/open_deep_research | research,agents,langgraph | Reference deep-research implementation on LangGraph
lastmile-ai/mcp-agent | mcp,agents,patterns | Agent patterns built directly on MCP primitives
awslabs/agent-squad | agents,routing,aws | Multi-agent routing framework from AWS Labs
google/adk-python | agents,google,sdk | Google's Agent Development Kit
googleapis/python-genai | google,sdk,gemini | Official Gemini SDK
anthropics/anthropic-sdk-python | anthropic,sdk | Official Claude SDK for Python
anthropics/anthropic-sdk-typescript | anthropic,sdk,typescript | Official Claude SDK for TypeScript
anthropics/claude-code | agents,cli,anthropic | The harness this pack installs into
anthropics/courses | education,prompting | Official prompt engineering and API courses
anthropics/anthropic-cookbook | recipes,patterns | Working recipes for tool use, RAG and vision
