// domain: cloud-devops
// title: Cloud, Kubernetes, IaC, CI/CD, GitOps, SRE and Observability
// format: owner/repo | tags | why it matters

kubernetes/kubernetes | kubernetes,orchestration,core | The control plane source
prometheus-operator/kube-prometheus | monitoring,kubernetes,stack | The batteries-included monitoring stack
grafana/grafana | dashboards,visualization,observability | The dashboard layer
grafana/loki | logs,aggregation,observability | Log aggregation that indexes labels, not content
grafana/tempo | tracing,storage,observability | Trace storage
grafana/mimir | metrics,scale,storage | Long-term metrics at scale
grafana/k6 | load-testing,performance,scripting | Scriptable load testing
open-telemetry/opentelemetry-collector | observability,pipeline,otel | The telemetry pipeline
open-telemetry/opentelemetry-specification | observability,standards,otel | The specification
open-telemetry/opentelemetry-demo | observability,reference,microservices | Reference instrumented application
jaegertracing/jaeger | tracing,distributed,observability | Distributed tracing backend
openobserve/openobserve | observability,storage,cost | Cost-focused observability stack
netdata/netdata | monitoring,realtime,agent | Real-time host monitoring
elastic/beats | shipping,logs,metrics | Log and metric shippers
fluent/fluentd | logs,routing,cncf | Log collection and routing
fluent/fluent-bit | logs,lightweight,edge | Lightweight log processor
vectordotdev/vector | logs,pipeline,rust | High-performance observability pipeline
chaos-mesh/chaos-mesh | chaos,kubernetes,resilience | Chaos engineering on Kubernetes
Netflix/chaosmonkey | chaos,resilience,history | Where the discipline started
keptn/lifecycle-toolkit | sre,slo,automation | SLO-driven delivery
dastergon/awesome-sre | sre,catalog,awesome | Curated SRE reading list
upgundecha/howtheysre | sre,practice,corpus | How real companies run SRE
backstage/backstage | platform,catalog,developer-portal | The developer portal standard
crossplane/crossplane | platform,control-plane,kubernetes | Cloud resources as Kubernetes APIs
external-secrets/external-secrets | secrets,kubernetes,sync | Sync secrets from cloud stores
bitnami-labs/sealed-secrets | secrets,gitops,encryption | Encrypted secrets that can live in git
getsops/sops | secrets,encryption,files | Encrypt values in config files
open-policy-agent/opa | policy,rego,authorization | General policy engine
open-policy-agent/gatekeeper | policy,kubernetes,admission | OPA as an admission controller
kyverno/kyverno | policy,kubernetes,yaml | Policy as Kubernetes resources
stakater/Reloader | kubernetes,config,restarts | Restart workloads on config change
kubernetes-sigs/descheduler | kubernetes,scheduling,balance | Rebalance pods after the fact
robusta-dev/krr | cost,rightsizing,kubernetes | Right-size resource requests from real usage
kubecost/cost-analyzer-helm-chart | cost,kubernetes,finops | Kubernetes cost visibility
opencost/opencost | cost,finops,cncf | Vendor-neutral cost allocation
